,🛒,FreshBasket Retail — Sales Performance Analysis System,,,,,,
,,,,,,,,
Count of Price,,,,,,,,
10000,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Revenue KPI Dashboard Cards (Summary Panel),,,,
,KPI Card,Formula,,,,,,
,💰 Total Revenue,#NAME?,,,,,,
,📈 MoM Growth %,#NAME?,,,,,,
,🎯 Revenue vs Target,#NAME?,,,,,,
,🔻 Returns Impact,#NAME?,,,,,,
,📦 Avg Order Value,#NAME?,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,🧺 FreshBasket Product Categories,,,,,,
,,Category,Examples,,,,,
,,🥛 Dairy,"Milk, Cheese, Yogurt, Butter",,,,,
,,🥦 Produce,"Vegetables, Fruits, Herbs",,,,,
,,🍞 Bakery,"Bread, Cakes, Pastries",,,,,
,,🥤 Beverages,"Juices, Water, Soft Drinks",,,,,
,,🥫 Packaged Food,"Canned goods, Snacks, Cereals",,,,,
,,🧴 Personal Care,"Soaps, Shampoos, Detergents",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,📋 Product Performance Table Structure,,,,,,,
,Product,Category,Units Sold,Revenue,COGS,Gross Profit,Margin %,Rank
,Full Cream Milk,Dairy,"1,200","₹ 48,000","₹ 30,000","₹ 18,000",37.50%,1
,Whole Wheat Bread,Bakery,980,"₹ 29,400","₹ 18,000","₹ 11,400",38.80%,2
,Orange Juice 1L,Beverages,750,"₹ 37,500","₹ 22,500","₹ 15,000",40.00%,3
